# A_ind mode table for VBM -> CBM intervalley transition
# source_gcv_table = /Users/huhaitao/Desktop/code/Material/19.V2O5/8_cvq/gcv_table.dat
# poscar = /Users/huhaitao/Desktop/code/Material/19.V2O5/7_h5/POSCAR
# temperature_K = 300.0
# composition = {'O': 10, 'V': 4}
# cell_mass_amu = 363.76000000
# cell_mass_kg = 6.040376908664e-25
# cell_volume_A3 = 175.718496117993
# D convention: D = |g| * sqrt(2*M_cell*epsilon_ph) / hbar
# A_ind,nu = 5.3464012e-4 * (1+2Nph) * D^2/epsilon_ph * F0^(5/2)
# A_coeff_per_F0_5_2 means A_ind,nu / F0^(5/2)
# columns: nu phonon_meV phonon_eV Nph_300K Re_g_eV Im_g_eV abs_g_eV abs_g2_eV2 D_eV_cm bose_1p2N D2_over_eV A_coeff_per_F0_5_2 frac_of_total
  1 1.323252093677e+01 1.323252093677e-02 1.496141184861e+00 -1.368455189299e-04 -1.590770905223e-04 2.098385493189e-04 4.403221678025e-08 1.007007310321e+06 3.992282369722e+00 7.663420506830e+13 1.635706777839e+11 2.363889095113e-05
  2 1.340277350190e+01 1.340277350190e-02 1.471865712017e+00 -3.516144912271e-04 1.226260064858e-04 3.723840596851e-04 1.386698879076e-07 1.798516699443e+06 3.943731424034e+00 2.413427577298e+14 5.088656638764e+11 7.354019742490e-05
  3 1.433561347065e+01 1.433561347065e-02 1.349316433953e+00 7.638880791113e-05 -2.343282153689e-04 2.464649315664e-04 6.074496249205e-08 1.231088653701e+06 3.698632867906e+00 1.057212707621e+14 2.090572075022e+11 3.021250873108e-05
  4 1.469372314311e+01 1.469372314311e-02 1.306502500397e+00 -1.377411801152e-04 -5.809959800981e-05 1.494931302383e-04 2.234819598843e-08 7.559850640250e+05 3.613005000794e+00 3.889507182507e+13 7.513195437179e+10 1.085791231291e-05
  5 1.637867864459e+01 1.637867864459e-02 1.130839931687e+00 1.598787019118e-02 2.321924827689e-02 2.819123061865e-02 7.947454837941e-04 1.505149083718e+08 3.261679863374e+00 1.383184696017e+18 2.412031932964e+15 3.485817911039e-01
  6 1.706217403921e+01 1.706217403921e-02 1.069768800933e+00 -3.210935894861e-05 2.273109183254e-04 2.295675598207e-04 5.270126452202e-08 1.250989760459e+06 3.139537601866e+00 9.172192108553e+13 1.539573321519e+11 2.224959042277e-05
  7 2.589309262329e+01 2.589309262329e-02 5.805157705104e-01 8.429401252455e-03 1.482308817453e-02 1.705223587993e-02 2.907787485048e-04 1.144720201649e+08 2.161031541021e+00 5.060748668100e+17 5.847058253599e+14 8.450045834277e-02
  8 2.649121730205e+01 2.649121730205e-02 5.598063500788e-01 3.200694147464e-06 -2.460337393676e-05 2.481069229380e-05 6.155704520977e-10 1.684674077608e+05 2.119612700158e+00 1.071346293907e+12 1.214081748180e+09 1.754565453895e-07
  9 2.848731217322e+01 2.848731217322e-02 4.975136628423e-01 6.648290979429e-05 2.892015331406e-05 7.250070732361e-05 5.256352562424e-09 5.104979873406e+05 1.995027325685e+00 9.148219863431e+12 9.757689354384e+09 1.410160780088e-06
 10 3.014234926262e+01 3.014234926262e-02 4.526943384184e-01 6.865332451597e-05 1.478530185582e-04 1.630147050541e-04 2.657379406388e-08 1.180704951765e+06 1.905388676837e+00 4.624935405584e+13 4.711408890439e+10 6.808829216594e-06
 11 3.532675394023e+01 3.532675394023e-02 3.422781483817e-01 -4.157370660606e-05 -8.299547513794e-05 9.282576137226e-05 8.616621974340e-09 7.278576316438e+05 1.684556296763e+00 1.499647357463e+13 1.350629470038e+10 1.951901354825e-06
 12 3.674966674865e+01 3.674966674865e-02 3.181168587722e-01 -6.919962917348e-03 -7.768223343091e-03 1.040342158550e-02 1.082311806856e-04 8.320107811613e+07 1.636233717544e+00 1.883668618557e+17 1.647826132801e+14 2.381403732469e-02
 13 3.675966121016e+01 3.675966121016e-02 3.179548015051e-01 -2.518883983140e-05 8.641849664853e-05 9.001463333839e-05 8.102634215044e-09 7.199874395591e+05 1.635909603010e+00 1.410192303349e+13 1.233386491026e+10 1.782464262971e-06
 14 3.676586893976e+01 3.676586893976e-02 3.178541965764e-01 -8.025799463605e-05 -6.004020895677e-05 1.002305961001e-04 1.004617239457e-08 8.017681200647e+05 1.635708393153e+00 1.748448049481e+13 1.529044625778e+10 2.209743192233e-06
 15 4.795080043694e+01 4.795080043694e-02 1.855099508253e-01 -8.736093381593e-05 8.845024449045e-06 8.780755784496e-05 7.710167214696e-09 8.021505438580e+05 1.371019901651e+00 1.341886869768e+13 9.836060877279e+09 1.421486868043e-06
 16 4.859384678465e+01 4.859384678465e-02 1.801315198792e-01 -1.616799060607e-03 1.092003882090e-04 1.620482621679e-03 2.625963927165e-06 1.490256659331e+07 1.360263039758e+00 4.570259523850e+15 3.323726699303e+12 4.803380047125e-04
 17 6.600898153172e+01 6.600898153172e-02 8.438840559215e-02 3.007137138005e-05 1.083193913492e-04 1.124160927934e-04 1.263737791894e-08 1.204914014682e+06 1.168776811184e+00 2.199424607210e+13 1.374365395532e+10 1.986204016035e-06
 18 6.642356206533e+01 6.642356206533e-02 8.293454728207e-02 2.265063419034e-05 -1.958885627587e-05 2.994619373846e-05 8.967745194212e-10 3.219799020801e+05 1.165869094564e+00 1.560757269259e+12 9.728518338621e+08 1.405945046132e-07
 19 6.671405976640e+01 6.671405976640e-02 8.193190463370e-02 -2.355793183332e-02 -3.235798299862e-02 4.002518227319e-02 1.602015216002e-03 4.312886770376e+08 1.163863809267e+00 2.788166746142e+18 1.734931980683e+15 2.507287275117e-01
 20 6.681502481637e+01 6.681502481637e-02 8.158648785341e-02 2.322598754695e-04 -1.277869047675e-04 2.650927060165e-04 7.027414278314e-08 2.858649427428e+06 1.163172975707e+00 1.223059719187e+14 7.605950808838e+10 1.099196042871e-05
 21 7.019072898817e+01 7.019072898817e-02 7.089131759017e-02 1.207138394190e-04 7.057159720071e-05 1.398291148464e-04 1.955218135873e-08 1.545480529919e+06 1.141782635180e+00 3.402885399240e+13 2.077266908501e+10 3.002022525781e-06
 22 7.075844399113e+01 7.075844399113e-02 6.924487503073e-02 -5.519542593011e-05 4.816581643424e-05 7.325626878557e-05 5.366480916383e-09 8.129427923213e+05 1.138489750061e+00 9.339888588704e+12 5.685024836082e+09 8.215878541029e-07
 23 7.623379288549e+01 7.623379288549e-02 5.529723898215e-02 5.534029223221e-05 7.784238119406e-05 9.550907943389e-05 9.121984254308e-09 1.100131186696e+06 1.110594477964e+00 1.587601222676e+13 9.426673822127e+09 1.362323110304e-06
 24 7.727060157273e+01 7.727060157273e-02 5.300816428199e-02 -1.999172382316e-02 -3.118175048989e-02 3.704012128807e-02 1.371970585035e-03 4.295419654613e+08 1.106016328564e+00 2.387794275404e+18 1.411952188657e+15 2.040523660357e-01
 25 7.783921674993e+01 7.783921674993e-02 5.179524787820e-02 6.782555354997e-06 2.443810525343e-05 2.536186202788e-05 6.432240455214e-10 2.951932465410e+05 1.103590495756e+00 1.119474943888e+12 6.605168101129e+08 9.545650270080e-08
 26 7.784489943223e+01 7.784489943223e-02 5.178327419736e-02 1.669208486353e-04 -1.828338936912e-04 2.475697929704e-04 6.129080239141e-08 2.881633787546e+06 1.103566548395e+00 1.066712571548e+14 6.293720997020e+10 9.095553453779e-06
 27 8.136113637401e+01 8.136113637401e-02 4.490231770474e-02 2.926821156895e-05 -2.685793093452e-05 3.972375438611e-05 1.577976662528e-09 4.726991747130e+05 1.089804635409e+00 2.746329755611e+12 1.600158042957e+09 2.312514809777e-07
 28 8.170947358724e+01 8.170947358724e-02 4.427474124803e-02 1.021654049168e-04 1.978602226685e-04 2.226801241158e-04 4.958643767622e-08 2.655484153976e+06 1.088549482496e+00 8.630083859848e+13 5.022555414869e+10 7.258491641453e-06
 29 8.374532283367e+01 8.374532283367e-02 4.078510302059e-02 -3.731046685741e-05 6.465509303827e-06 3.786652542386e-05 1.433873747676e-09 4.571532277819e+05 1.081570206041e+00 2.495531291777e+12 1.443043027650e+09 2.085455488146e-07
 30 8.437767430013e+01 8.437767430013e-02 3.976039878638e-02 5.991550798820e-03 7.643009111103e-03 9.711553390022e-03 9.431426924724e-05 1.176870104167e+08 1.079520797573e+00 1.641457001002e+17 9.473753267622e+13 1.369126932928e-02
