V2O5 direct Auger trial summary
density_cm3 = 1.00000000e+20
target_gap_eV = 1.894823
gap_source = klist.dat QE band edges

eta_eV gap_eV C_eeh_cm6_s C_hhe_cm6_s C_total_cm6_s R_cm-3_s-1 tau_s
0.010000 1.890000 7.80068805e-34 7.89591822e-33 8.67598702e-33 8.67598702e+27 1.15260661e-08
0.020000 1.890000 3.45569974e-33 8.83635367e-33 1.22920534e-32 1.22920534e+28 8.13533725e-09
0.030000 1.890000 4.19688645e-33 9.41082211e-33 1.36077086e-32 1.36077086e+28 7.34877585e-09
0.050000 1.890000 4.09247436e-33 8.43420558e-33 1.25266799e-32 1.25266799e+28 7.98296121e-09
0.100000 1.890000 3.05711358e-33 8.17474956e-33 1.12318631e-32 1.12318631e+28 8.90324239e-09
0.200000 1.890000 2.26690815e-33 9.74664237e-33 1.20135505e-32 1.20135505e+28 8.32393386e-09
0.300000 1.890000 1.95215348e-33 1.05545107e-32 1.25066642e-32 1.25066642e+28 7.99573720e-09
0.500000 1.890000 1.49439925e-33 1.07659154e-32 1.22603147e-32 1.22603146e+28 8.15639752e-09

